trade_id,symbol,direction,entry_time,entry_price,stop_loss,risk,exit_time,exit_reason,rr,pnl_dollars,is_winner,tp1_hit,tp2_hit,tp3_hit,hours_in_trade
155,AUD_NZD,bullish,2023-02-07 22:00:00,1.0979,1.0844469881918286,0.013453011808171489,2023-02-22 01:00:00,TP1+Trail,0.21,75.6,True,True,False,False,339
153,AUD_NZD,bullish,2023-02-06 22:00:00,1.09697236,1.0844032180527383,0.012569141947261775,2023-02-22 02:00:00,TP1+Trail,0.21,75.6,True,True,False,False,364
172,GBP_NZD,bullish,2023-02-20 22:00:00,1.92428336,1.9005346251233,0.02374873487670004,2023-02-22 02:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,28
181,AUD_NZD,bullish,2023-02-21 22:00:00,1.09697236,1.0902377045477862,0.006734655452213856,2023-02-22 02:00:00,TP1+Trail,0.21,75.6,True,True,False,False,4
173,GBP_AUD,bullish,2023-02-20 22:00:00,1.7516044,1.7329528361905382,0.018651563809461758,2023-02-22 08:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,34
169,USD_CAD,bullish,2023-02-15 22:00:00,1.34290774,1.3319464586604453,0.010961281339554763,2023-02-22 22:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,168
171,NAS100_USD,bearish,2023-02-16 00:00:00,12655.559,13069.0005023132,413.44150231320054,2023-02-23 13:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,181
37,SPX500_USD,bullish,2023-01-09 00:00:00,3968.793,3757.201144675928,211.59185532407218,2023-02-24 13:00:00,TP1+Trail,0.21,75.6,True,True,False,False,1117
114,BTC_USD,bullish,2023-01-29 00:00:00,23096.53470703125,20289.353388700787,2807.181318330462,2023-02-24 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,640
116,BTC_USD,bullish,2023-01-30 00:00:00,23096.53470703125,20275.03090892752,2821.5037981037276,2023-02-24 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,616
123,BTC_USD,bullish,2023-01-31 00:00:00,23139.283203125,20280.940391995195,2858.3428111298053,2023-02-24 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,592
137,USD_CAD,bullish,2023-02-02 22:00:00,1.34024,1.3220857267403243,0.01815427325967578,2023-02-24 19:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,525
30,EUR_NZD,bearish,2023-01-05 22:00:00,1.67724,1.7204211606740551,0.043181160674055086,2023-02-27 13:00:00,SL,-1.0,-360.0,False,False,False,False,1263
149,AUD_CHF,bullish,2023-02-05 22:00:00,0.6393892800000001,0.629566873935265,0.009822406064735056,2023-02-27 14:00:00,SL,-1.0,-360.0,False,False,False,False,520
176,EUR_GBP,bullish,2023-02-20 22:00:00,0.8850222799999999,0.8780243215339479,0.006997958466052001,2023-02-28 09:00:00,SL,-1.0,-360.0,False,False,False,False,179
175,GBP_USD,bearish,2023-02-20 22:00:00,1.21034986,1.2320982443093091,0.021748384309309143,2023-02-28 10:00:00,TP1+Trail,0.21,75.6,True,True,False,False,180
180,GBP_AUD,bearish,2023-02-21 22:00:00,1.76843452,1.8010586590501156,0.03262413905011563,2023-02-28 14:00:00,SL,-1.0,-360.0,False,False,False,False,160
184,CAD_JPY,bullish,2023-02-23 22:00:00,99.11826,97.88258236437784,1.2356776356221673,2023-02-28 15:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,113
182,NZD_CHF,bearish,2023-02-22 22:00:00,0.58097408,0.5867061728436999,0.00573209284369991,2023-02-28 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,138
195,EUR_GBP,bullish,2023-02-28 22:00:00,0.8850222799999999,0.878997900722716,0.006024379277283942,2023-02-28 22:00:00,SL,-1.0,-360.0,False,False,False,False,0
192,EUR_USD,bearish,2023-02-28 22:00:00,1.06831268,1.0777338807439376,0.009421200743937597,2023-03-01 01:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,3
191,EUR_USD,bearish,2023-02-28 22:00:00,1.06867176,1.077844179262702,0.00917241926270207,2023-03-01 02:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,4
