date,start_balance,end_balance,hwm,min_equity_allowed,lowest_equity,highest_equity,max_open_trades,trades_opened,trades_closed,realized_pnl,daily_dd_breached
2024-10-11,97092.60000000003,97092.60000000003,99292.44516439765,94327.82290617777,99360.57147962307,100548.89781449862,29,0,0,0.0,False
2024-10-14,97092.60000000003,96732.60000000003,100486.61037182153,95462.27985323046,100191.05728073188,101062.4520584243,29,0,1,-360.0,False
2024-10-15,96732.60000000003,97209.60000000003,101062.4520584243,96009.32945550309,100264.74354750589,101266.28991530553,28,0,1,477.0,False
2024-10-16,97209.60000000003,96489.60000000003,100264.74354750589,95251.50637013059,98974.6940755356,100289.90217639074,27,1,2,-720.0,False
2024-10-17,96489.60000000003,96489.60000000003,99006.66861997359,94056.3351889749,98322.8321184143,100388.17965621228,27,1,0,0.0,False
2024-10-18,96489.60000000003,96489.60000000003,100142.44435009491,95135.32213259017,99593.76973164557,100790.5382592572,27,0,0,0.0,False
2024-10-21,96489.60000000003,96489.60000000003,100695.3011685868,95660.53611015745,99754.43379550442,100815.87111375532,29,2,0,0.0,False
2024-10-22,96489.60000000003,96489.60000000003,100770.67259209741,95732.13896249254,100002.79755065311,101571.73489910763,30,1,0,0.0,False
2024-10-23,96489.60000000003,97461.60000000003,101513.9812680964,96438.28220469158,101189.06467718637,103379.53045639035,36,6,6,971.9999999999986,False
2024-10-24,97461.60000000003,97938.60000000003,101898.64147902856,96803.70940507714,101674.07543611512,102320.76577017385,31,1,1,477.0,False
2024-10-25,97938.60000000003,97704.60000000003,102320.76577017385,97204.72748166516,102040.7035400814,103468.31218004884,32,2,2,-234.0,False
2024-10-28,97704.60000000003,97704.60000000003,102365.12353334116,97246.8673566741,102762.05219835897,104132.64127390044,31,1,0,0.0,False
2024-10-29,97704.60000000003,99378.60000000003,103927.32419068867,98730.95798115424,103954.18204589612,105836.99237731383,33,3,6,1674.0000000000016,False
2024-10-30,99378.60000000003,100458.60000000003,105653.38574468487,100370.71645745063,105314.50569971198,106631.01457993187,30,2,3,1080.0000000000011,False
2024-10-31,100458.60000000003,101448.60000000003,106421.05562261224,101100.00284148163,104650.39118365652,108749.55185614909,43,16,10,990.0,False
2024-11-01,101448.60000000003,101925.60000000003,105449.452408579,100176.97978815006,105179.52644770256,107407.66061822491,36,3,1,477.0000000000039,False
2024-11-04,101925.60000000003,102051.60000000003,106479.8094439318,101155.8189717352,106706.45884298654,107561.33866405328,39,5,1,125.99999999999999,False
2024-11-05,102051.60000000003,103005.60000000003,107309.32478192891,101943.85854283246,107465.42841706256,108301.03606850332,40,3,2,954.0000000000002,False
2024-11-06,103005.60000000003,106857.60000000003,108012.5186397313,102611.89270774473,107999.94181343199,114480.09935697643,55,16,22,3852.000000000006,False
2024-11-07,106857.60000000003,109629.60000000003,114480.09935697643,108756.0943891276,113952.00878929118,115706.9639212343,43,13,13,2772.000000000001,False
2024-11-08,109629.60000000003,110124.60000000003,114438.67234256105,108716.738725433,113698.54239631754,114937.3909443765,44,11,5,494.9999999999975,False
2024-11-09,110124.60000000003,110124.60000000003,114151.70349990536,108444.11832491009,114039.91579749939,114039.91579749939,40,0,0,0.0,False
2024-11-11,110124.60000000003,109881.60000000003,114039.91579749939,108337.92000762442,113123.59226590458,114433.62109127491,41,1,3,-243.00000000000017,False
2024-11-12,109881.60000000003,108324.60000000003,113136.3772753922,107479.55841162258,111625.81790914563,113204.77795804414,40,2,8,-1557.0,False
2024-11-13,108324.60000000003,108801.60000000003,111625.81790914563,106044.52701368835,111414.89458183367,112623.64416881857,33,1,7,476.9999999999988,False
2024-11-14,108801.60000000003,108918.60000000003,112623.64416881857,106992.46196037764,112231.17433352114,113135.63626748278,26,0,2,116.99999999999852,False
2024-11-15,108918.60000000003,109899.60000000003,112923.66107170327,107277.47801811811,111430.30016904767,114703.5861674235,31,8,5,980.9999999999987,False
2024-11-16,109899.60000000003,109899.60000000003,111451.2536849178,105878.69100067191,111517.06852992918,111517.06852992918,27,0,0,0.0,False
2024-11-18,109899.60000000003,109899.60000000003,111517.06852992918,105941.21510343273,111511.91361705557,113229.78458232214,28,1,0,0.0,False
2024-11-19,109899.60000000003,109296.60000000003,112189.3012045521,106579.8361443245,109924.82291529026,112410.18427522072,31,3,4,-603.0,False
2024-11-20,109296.60000000003,109422.60000000003,111118.77938293769,105562.84041379081,110650.57247137761,112901.2672633174,29,2,1,125.99999999999999,False
2024-11-21,109422.60000000003,110610.60000000003,112460.52415351366,106837.49794583798,111484.88035451513,112699.69403679522,32,4,6,1188.0000000000048,False
